s.no,topic,title,url,labels,upvotes
824,Microsoft Azure,70-533 Implementing Microsoft Azure Infrastructure Solutions,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/70533-azure/,"['Paid', 'Video', 'Beginner', 'Microsoft Azure Certification']",0
825,Microsoft Azure,Azure Kubernetes Service,https://docs.microsoft.com/en-us/azure/aks,"['Free', 'Beginner', 'Kubernetes']",0
826,Microsoft Azure, Microsoft Azure Fundamentals,http://www.microsoftvirtualacademy.com/training-courses/microsoft-azure-fundamentals,"['Free', 'Video']",4
827,Microsoft Azure,70-534 Architecting Microsoft Azure Solutions Certification,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/70534-azure/,"['Paid', 'Video', 'Beginner', 'Microsoft Azure Certification']",2
828,Microsoft Azure,Hands-On DevOps on Azure ,https://www.packtpub.com/virtualization-and-cloud/hands-devops-azure-video,"['Paid', 'Video', 'Advanced']",0
829,Microsoft Azure,Microsoft Azure Training Library,https://cloudacademy.com/library/azure,"['Paid', 'Video', 'Advanced']",0
830,MongoDB,The MongoDB Manual,http://docs.mongodb.org/manual/,['Free'],9
831,MongoDB,MongoDB for Beginners Tutorials,http://www.youtube.com/playlist?list=PL6gx4Cwl9DGDQ5DrbIl20Zu9hx1IjeVhO,"['Free', 'Video']",7
832,MongoDB,The Complete Developer's Guide to MongoDB,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/the-complete-developers-guide-to-mongodb/,"['Paid', 'Video']",7
833,MongoDB,MongoDB Tutorial for Beginners,https://www.youtube.com/playlist?list=PL4cUxeGkcC9jpvoYriLI0bY8DOgWZfi6u,"['Free', 'Video']",5
834,Meteor,Learn MeteorJS By Building 10 Real World Projects,https://www.eduonix.com/courses/Web-Development/Learn-MeteorJS-By-Building-10-Real-World-Projects,"['Paid', 'Exercises/Practice-programs', 'Video']",0
835,Meteor,Meteor 1.3 With ReactJS,https://www.codementor.io/ethaan/using-meteor-and-react-pt2-du107yhd1,['Free'],0
836,Meteor,Meteor For Everyone,https://www.youtube.com/playlist?list=PLLnpHn493BHECNl9I8gwos-hEfFrer7TV,"['Free', 'Video']",0
837,MongoDB,Введение в MongoDB,https://www.intuit.ru/studies/courses/3540/782/info,"['Free', 'Video', 'Beginner']",0
838,MongoDB,The Little MongoDB Book,http://openmymind.net/2011/3/28/The-Little-MongoDB-Book/,['Free'],16
839,Microservices,Microservices in Action,https://www.manning.com/books/microservices-in-action?a_aid=hackrio,"['Paid', 'Book', 'Beginner']",0
840,Microservices,Microservices Patterns,https://www.manning.com/books/microservices-patterns?a_aid=hackrio,"['Paid', 'Book']",0
841,Microsoft Azure, Microsoft Azure Fundamentals: Websites,http://www.microsoftvirtualacademy.com/training-courses/microsoft-azure-fundamentals-websites,"['Free', 'Video']",0
842,Microservices,Building Resilient Microservices with Spring Boot,http://codeboje.de/spring-boot-intermediate-microservices/,"['Paid', 'Book', 'Beginner']",0
843,MongoDB,MongoDB for Node.js Developers,https://university.mongodb.com/courses/M101JS/about,"['Free', 'Video']",4
844,MongoDB,MongoDB - noSQL Database | Tutorial,https://www.youtube.com/playlist?list=PLLAZ4kZ9dFpOFJ9JcVW9u4PlSWO-VFoao,"['Free', 'Video', 'Beginner']",2
845,MongoDB,Learn You Mongo,https://github.com/evanlucas/learnyoumongo,"['Free', 'Exercises/Practice-programs', 'Beginner']",2
846,MongoDB,NoSQL Databases (General),http://www.christof-strauch.de/nosqldbs.pdf,['Free'],2
847,MongoDB,MongoDB - The Complete Developer's Guide,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/mongodb-the-complete-developers-guide,"['Paid', 'Video', 'Beginner']",1
848,Nginx,agentzh's Nginx Tutorials,http://openresty.org/download/agentzh-nginx-tutorials-en.html,['Free'],4
849,Nginx,Load Balancing with Nginx,https://serversforhackers.com/t/proxies,"['Free', 'Video', 'Advanced']",3
850,Nginx,NGINX Beginner’s Guide (official docs),http://nginx.org/en/docs/beginners_guide.html,['Free'],2
851,Nginx,Nginx 2018 - Beginner to Advanced,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/nginx-beginner-to-advanced,"['Paid', 'Video', 'Beginner']",1
852,Nginx,Practical Nginx The Zero to Hero Guide,https://www.eduonix.com/courses/Software-Development/practical-nginx-the-zero-to-hero-guide,"['Paid', 'Video', 'Advanced']",0
853,MySQL,Get Started with SQL Programming,http://www.ntu.edu.sg/home/ehchua/programming/sql/MySQL_HowTo.html,['Free'],2
854,MySQL,Managing Big Data with MySQL,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/analytics-mysql,"['Free', 'Video']",1
855,MySQL,Learn MySQL,https://www.pluralsight.com/paths/mysql,['Paid'],1
856,MySQL,MySQL 5.0 Reference Manual,http://dev.mysql.com/doc/refman/5.0/en/preface.html,['Free'],1
857,MySQL,MySQL Tutorial,https://www.w3resource.com/mysql/mysql-tutorials.php,"['Free', 'Beginner']",0
858,MySQL,A Basic MySQL Tutorial,https://www.digitalocean.com/community/tutorials/a-basic-mysql-tutorial,['Free'],6
859,MySQL,The Complete MySQL Developer Course,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/the-complete-mysql-developer-course/,"['Paid', 'Video', 'Beginner']",5
860,MySQL,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,"['Paid', 'Video', 'Beginner']",3
861,MySQL, MySQL Database Tutorial ,https://www.youtube.com/playlist?list=PL32BC9C878BA72085,"['Free', 'Video']",2
